"","gene_id","treatmentcontrol","normalized_effect","num_cells_expressed","q_value"
"225","LEMD1",1.626342826,2.065113293,806,1.97e-90
"236","LINC01515",3.809899133,2.033885862,253,7.94e-51
"251","WDR72",2.967456136,1.966022708,206,9.83e-46
"271","CHSY3",2.131839963,1.897271115,339,2.93e-62
"288","VXN",1.435907467,1.807362849,639,4.08e-85
"317","AC018682.1",4.681714844,1.718039149,367,4.8e-71
"340","AC090644.1",8.331733589,1.656480893,263,1.25e-52
"354","AC015849.3",8.166547539,1.617978054,356,3.43e-64
"363","DIRC3",2.631262983,1.582178599,212,9.96e-39
"377","CADM2-AS2",8.652000268,1.53833135,430,3.29e-90
"393","AC027243.3",8.283558816,1.496412091,261,2.26e-49
"398","CD302",1.451545152,1.493289681,711,9.46e-82
"400","AL133480.1",3.660250769,1.491677295,334,4.73e-56
"417","AC109587.1",2.215259143,1.46234892,471,3.74e-66
"432","SLC29A4",1.053597826,1.419346668,1056,3.85e-96
"449","AC068389.1",2.356197495,1.389479727,329,7.87e-47
"482","AC079760.1",9.270566381,1.316696402,219,1.32e-31
"484","PRSS48",8.183024329,1.316298285,361,2.17e-66
"505","AC025043.1",7.6765226,1.267163716,214,2.36e-38
"508","SHISA9",1.569335492,1.246164035,210,7.87e-27
"509","AP002961.1",2.353214166,1.243198225,220,2.75e-35
"516","AC068533.3",7.679816295,1.216719998,213,6.61e-36
"536","RUNX2",2.98070672,1.169277027,374,3.8e-68
"538","AC023906.4",8.891879229,1.165022706,465,3.22e-95
"540","SLC26A5",7.900570855,1.164605034,232,9.39e-36
"560","AC015522.1",8.865618097,1.110728712,205,1.14e-53
"569","COL8A1",1.895485402,1.091114001,374,2.15e-44
"571","SP2-AS1",1.430093296,1.069630641,356,8.05e-46
"579","AC005746.2",2.973379643,1.043167281,232,5.4e-29
"580","MKRN2OS",3.849351283,1.040591605,249,3.6e-40
"581","S1PR1",1.592250246,1.03935733,330,6.94e-36
"587","ZDHHC22",1.207348327,1.008287697,318,5.43e-34
"600","AC010976.1",2.464210384,0.981176802,222,1.56e-31
"601","AC006213.3",1.777227759,0.980941074,341,5.83e-43
"617","PPP1R14A",1.047789638,0.929224204,247,4.87e-14
"636","CEMIP",1.809033347,0.866897726,261,2.68e-36
"637","AC025283.2",3.605076419,0.863202772,201,2.45e-26
"638","AMZ1",1.104360766,0.854676072,201,1.46e-18
"639","AC008543.1",1.157458199,0.853548928,306,2.72e-31
"648","AC087276.2",7.620760186,0.803237437,214,1.91e-33
"656","AC012613.1",1.352676677,0.766974822,233,3.42e-29
"657","STX19",1.59128994,0.766256128,231,1.11e-26
"662","LINC00106",2.677502549,0.729236186,240,1.86e-26
"675","AL161725.1",1.753233859,0.651867894,216,4.39e-25
"679","FGF1",4.122270203,0.628531269,211,4.85e-38
"680","GP6",2.319294681,0.627925804,200,4.15e-21
"681","AL021707.1",1.323034437,0.627907903,323,6.31e-38
"686","AC090772.2",3.292890145,0.591501703,236,3.54e-40
"688","AC021851.1",1.063904379,0.563789575,232,3.14e-24
"689","LANCL1-AS1",3.359037623,0.56376793,206,4.44e-35
"691","CRYBG1",1.072505683,0.545024376,325,1.89e-28
"692","LRTM1",1.994195428,0.54346439,327,6.99e-48
